Country,Algeria,"Israel, West Bank, Gaza",Jordan,Kuwait,Lebanon,Tunisia,Yemen
Attack 1,1/24/2002,1/15/2002,2/28/2002,10/8/2002,5/9/2002,4/11/2002,10/6/2002
Attack 2,7/5/2002,2/16/2002,10/28/2002,11/21/2002,11/21/2002,,12/30/2002
Attack 3,,3/7/2002,,,,,
Attack 4,,3/9/2002,,,,,
Attack 5,,3/21/2002,,,,,
Attack 6,,3/26/2002,,,,,
Attack 7,,3/27/2002,,,,,
Attack 8,,3/31/2002,,,,,
Attack 9,,4/12/2002,,,,,
Attack 10,,6/19/2002,,,,,
Attack 11,,7/17/2002,,,,,
Attack 12,,7/31/2002,,,,,
Attack 13,,8/4/2002,,,,,
Attack 14,,9/18/2002,,,,,
Attack 15,,9/19/2002,,,,,
Attack 16,,11/21/2002,,,,,
Attack 17,,,,,,,
Attack 18,,,,,,,
Attack 19,,,,,,,
Attack 20,,,,,,,
