Country,Algeria,Egypt,"Israel, West Bank, Gaza",Jordan,Qatar
Attack 1,9/14/2005,4/7/2005,1/18/2005,8/19/2005,3/19/2005
Attack 2,,7/23/2005,2/25/2005,11/9/2005,
Attack 3,,8/13/2005,7/12/2005,,
Attack 4,,8/15/2005,8/4/2005,,
Attack 5,,,10/16/2005,,
Attack 6,,,10/26/2005,,
Attack 7,,,11/21/2005,,
Attack 8,,,12/5/2005,,
Attack 9,,,,,
Attack 10,,,,,
Attack 11,,,,,
Attack 12,,,,,
Attack 13,,,,,
Attack 14,,,,,
Attack 15,,,,,
Attack 16,,,,,
Attack 17,,,,,
Attack 18,,,,,
Attack 19,,,,,
Attack 20,,,,,
