Country,Algeria,Egypt,Iraq,"Israel, West Bank, Gaza",Jordan,Lebanon,Saudi Arabia,Yemen
Attack 1,10/19/2006,4/24/2006,2/22/2006,3/30/2006,9/4/2006,10/8/2006,2/24/2006,2/3/2006
Attack 2,12/10/2006,4/26/2006,,5/28/2006,,10/15/2006,,9/15/2006
Attack 3,,,,7/12/2006,,11/1/2006,,
Attack 4,,,,,,11/5/2006,,
Attack 5,,,,,,11/21/2006,,
Attack 6,,,,,,,,
Attack 7,,,,,,,,
Attack 8,,,,,,,,
Attack 9,,,,,,,,
Attack 10,,,,,,,,
Attack 11,,,,,,,,
Attack 12,,,,,,,,
Attack 13,,,,,,,,
Attack 14,,,,,,,,
Attack 15,,,,,,,,
Attack 16,,,,,,,,
Attack 17,,,,,,,,
Attack 18,,,,,,,,
Attack 19,,,,,,,,
Attack 20,,,,,,,,
