Country,Algeria,"Israel, West Bank, Gaza",Lebanon,Morocco,Saudi Arabia,Yemen
Attack 1,1/29/2007,2/13/2007,5/20/2007,3/11/2007,2/26/2007,7/2/2007
Attack 2,4/11/2007,2/20/2007,6/24/2007,4/10/2007,6/19/2007,
Attack 3,9/6/2007,2/25/2007,12/12/2007,4/14/2007,,
Attack 4,9/8/2007,3/1/2007,,8/14/2007,,
Attack 5,12/6/2007,5/21/2007,,,,
Attack 6,12/11/2007,5/28/2007,,,,
Attack 7,,9/22/2007,,,,
Attack 8,,11/19/2007,,,,
Attack 9,,,,,,
Attack 10,,,,,,
Attack 11,,,,,,
Attack 12,,,,,,
Attack 13,,,,,,
Attack 14,,,,,,
Attack 15,,,,,,
Attack 16,,,,,,
Attack 17,,,,,,
Attack 18,,,,,,
Attack 19,,,,,,
Attack 20,,,,,,
