Country,Algeria,Iraq,"Israel, West Bank, Gaza",Lebanon,Tunisia,Yemen
Attack 1,8/3/2008,1/1/2008,1/16/2008,1/15/2008,3/10/2008,1/18/2008
Attack 2,8/9/2008,1/15/2008,2/4/2008,1/25/2008,,3/18/2008
Attack 3,8/10/2008,2/1/2008,3/6/2008,8/13/2008,,4/6/2008
Attack 4,8/19/2008,2/15/2008,4/25/2008,9/10/2008,,4/30/2008
Attack 5,8/20/2008,3/1/2008,6/1/2008,9/29/2008,,7/19/2008
Attack 6,,3/15/2008,6/20/2008,,,9/17/2008
Attack 7,,4/1/2008,7/2/2008,,,
Attack 8,,4/15/2008,7/22/2008,,,
Attack 9,,5/1/2008,9/25/2008,,,
Attack 10,,5/15/2008,11/4/2008,,,
Attack 11,,6/1/2008,11/12/2008,,,
Attack 12,,6/15/2008,11/28/2008,,,
Attack 13,,7/1/2008,,,,
Attack 14,,7/15/2008,,,,
Attack 15,,7/30/2008,,,,
Attack 16,,,,,,
Attack 17,,,,,,
Attack 18,,,,,,
Attack 19,,,,,,
Attack 20,,,,,,
