Country,Algeria,Egypt,Iraq,"Israel, West Bank, Gaza",Saudi Arabia,Yemen
Attack 1,3/9/3009,2/22/2009,8/19/2009,1/3/2009,8/27/2009,3/15/2009
Attack 2,6/17/2009,2/28/2009,10/25/2009,1/4/2009,,3/18/2009
Attack 3,8/4/2009,5/10/2009,12/8/2009,1/5/2009,,6/14/2009
Attack 4,10/22/2009,,,1/6/2009,,
Attack 5,,,,1/7/2009,,
Attack 6,,,,1/8/2009,,
Attack 7,,,,1/9/2009,,
Attack 8,,,,1/10/2009,,
Attack 9,,,,1/11/2009,,
Attack 10,,,,1/12/2009,,
Attack 11,,,,1/13/2009,,
Attack 12,,,,1/14/2009,,
Attack 13,,,,1/15/2009,,
Attack 14,,,,1/16/2009,,
Attack 15,,,,1/17/2009,,
Attack 16,,,,1/18/2009,,
Attack 17,,,,2/21/2009,,
Attack 18,,,,3/5/2009,,
Attack 19,,,,3/15/2009,,
Attack 20,,,,4/2/2009,,
Attack 21,,,,4/17/2009,,
Attack 22,,,,5/9/2009,,
Attack 23,,,,7/14/2009,,
Attack 24,,,,9/11/2009,,
Attack 25,,,,10/27/2009,,
Attack 26,,,,12/11/2009,,
Attack 27,,,,12/24/2009,,
