Country,Algeria,Iraq,"Israel, West Bank, Gaza",Palestinian Territories,Jordan,United Arab Emirates,Yemen
Attack 1,6/11/2010,1/25/2010,1/14/2010,5/4/2010,1/14/2010,10/29/2010,4/26/2010
Attack 2,7/14/2010,1/26/2010,2/1/2010,8/31/2010,4/22/2010,,6/19/2010
Attack 3,8/31/2010,4/4/2010,6/7/2010,10/4/2010,8/2/2010,,7/14/2010
Attack 4,,6/13/2010,,10/20/2010,,,10/6/2010
Attack 5,,7/18/2010,,,,,10/29/2010
Attack 6,,7/23/2010,,,,,11/24/2010
Attack 7,,8/17/2010,,,,,11/26/2010
Attack 8,,8/25/2010,,,,,12/15/2010
Attack 9,,10/31/2010,,,,,
Attack 10,,11/8/2010,,,,,
Attack 11,,12/30/2010,,,,,
Attack 12,,,,,,,
Attack 13,,,,,,,
Attack 14,,,,,,,
Attack 15,,,,,,,
Attack 16,,,,,,,
Attack 17,,,,,,,
Attack 18,,,,,,,
Attack 19,,,,,,,
Attack 20,,,,,,,
