Country,Bahrain,Iraq,"Israel, West Bank, Gaza",Lebanon,Morocco,Algeria,Yemen
Attack 1,11/12/2011,1/18/2011,4/7/2011,3/23/2011,4/28/2011,2/2/2011,1/2/2011
Attack 2,,1/20/2011,8/29/2011,5/27/2011,,4/15/2011,1/7/2011
Attack 3,,1/24/2011,10/3/2011,7/26/2011,,7/16/2011,1/17/2011
Attack 4,,1/27/2011,10/29/2011,11/29/2011,,8/26/2011,3/5/2011
Attack 5,,3/29/2011,11/10/2011,12/7/2011,,10/23/2011,3/8/2011
Attack 6,,5/22/2011,12/14/2011,12/9/2011,,,3/27/2011
Attack 7,,6/21/2011,12/15/2011,12/11/2011,,,4/11/2011
Attack 8,,7/5/2011,,,,,4/27/2011
Attack 9,,8/15/2011,,,,,5/1/2011
Attack 10,,8/28/2011,,,,,6/7/2011
Attack 11,,10/12/2011,,,,,6/15/2011
Attack 12,,10/27/2011,,,,,6/20/2011
Attack 13,,12/5/2011,,,,,10/5/2011
Attack 14,,12/22/2011,,,,,10/15/2011
Attack 15,,,,,,,10/28/2011
Attack 16,,,,,,,11/9/2011
Attack 17,,,,,,,
Attack 18,,,,,,,
Attack 19,,,,,,,
Attack 20,,,,,,,
